inventory_id,condition,status,equipment_id
1,Good,Rented,29
2,Maintenance Required,Rented,61
3,Excellent,Maintenance,15
4,Good,Available,38
5,Maintenance Required,Maintenance,17
6,Good,Available,50
7,Excellent,Available,78
8,Excellent,Available,57
9,Excellent,Available,10
10,Good,Available,36
11,Fair,Rented,38
12,Excellent,Available,28
13,Maintenance Required,Rented,62
14,Maintenance Required,Available,13
15,Maintenance Required,Available,75
16,Fair,Maintenance,49
17,Fair,Rented,56
18,Maintenance Required,Rented,52
19,Excellent,Maintenance,38
20,Maintenance Required,Maintenance,79
21,Good,Available,31
22,Excellent,Available,35
23,Fair,Available,79
24,Fair,Available,21
25,Fair,Available,49
26,Good,Available,59
27,Excellent,Maintenance,17
28,Fair,Available,10
29,Excellent,Rented,80
30,Fair,Available,3
31,Good,Rented,62
32,Excellent,Available,7
33,Excellent,Available,64
34,Excellent,Available,43
35,Excellent,Rented,6
36,Maintenance Required,Available,20
37,Excellent,Available,4
38,Fair,Maintenance,52
39,Good,Available,74
40,Fair,Maintenance,60
41,Good,Available,59
42,Fair,Maintenance,41
43,Good,Available,65
44,Excellent,Maintenance,63
45,Excellent,Available,24
46,Maintenance Required,Rented,74
47,Excellent,Available,73
48,Good,Maintenance,50
49,Maintenance Required,Available,53
50,Good,Available,31
51,Excellent,Rented,27
52,Maintenance Required,Rented,18
53,Good,Maintenance,47
54,Fair,Rented,19
55,Fair,Available,69
56,Good,Rented,76
57,Fair,Available,17
58,Excellent,Available,6
59,Maintenance Required,Available,3
60,Fair,Rented,12
61,Fair,Available,3
62,Excellent,Maintenance,76
63,Fair,Available,44
64,Maintenance Required,Available,19
65,Good,Available,52
66,Good,Available,26
67,Good,Rented,54
68,Good,Available,77
69,Excellent,Available,12
70,Excellent,Maintenance,5
71,Good,Available,77
72,Maintenance Required,Maintenance,71
73,Excellent,Available,15
74,Excellent,Available,69
75,Good,Available,68
76,Excellent,Available,36
77,Good,Maintenance,70
78,Good,Available,7
79,Good,Rented,34
80,Maintenance Required,Available,54
81,Maintenance Required,Rented,32
82,Excellent,Maintenance,22
83,Good,Available,11
84,Excellent,Available,55
85,Fair,Rented,74
86,Maintenance Required,Available,33
87,Good,Available,45
88,Excellent,Available,12
89,Good,Available,71
90,Maintenance Required,Rented,2
91,Maintenance Required,Maintenance,26
92,Fair,Available,65
93,Excellent,Available,13
94,Maintenance Required,Maintenance,18
95,Maintenance Required,Rented,30
96,Excellent,Available,46
97,Maintenance Required,Rented,52
98,Excellent,Maintenance,62
99,Maintenance Required,Rented,64
100,Good,Rented,17
101,Maintenance Required,Maintenance,31
102,Fair,Available,68
103,Maintenance Required,Available,12
104,Maintenance Required,Available,59
105,Good,Available,76
106,Maintenance Required,Rented,55
107,Excellent,Maintenance,57
108,Maintenance Required,Rented,25
109,Maintenance Required,Available,11
110,Good,Maintenance,22
111,Excellent,Rented,78
112,Good,Available,38
113,Excellent,Available,73
114,Fair,Maintenance,42
115,Maintenance Required,Rented,62
116,Maintenance Required,Available,20
117,Maintenance Required,Rented,78
118,Excellent,Maintenance,38
119,Fair,Maintenance,25
120,Fair,Available,4
121,Fair,Available,10
122,Excellent,Rented,57
123,Maintenance Required,Maintenance,43
124,Good,Maintenance,75
125,Good,Maintenance,9
126,Maintenance Required,Available,46
127,Maintenance Required,Available,12
128,Fair,Maintenance,15
129,Excellent,Available,55
130,Excellent,Available,47
131,Good,Available,78
132,Good,Maintenance,35
133,Maintenance Required,Available,58
134,Excellent,Available,60
135,Good,Maintenance,3
136,Excellent,Available,26
137,Good,Available,14
138,Excellent,Maintenance,2
139,Excellent,Rented,51
140,Good,Maintenance,36
141,Maintenance Required,Maintenance,3
142,Good,Available,45
143,Good,Available,21
144,Good,Available,53
145,Excellent,Rented,72
146,Excellent,Available,22
147,Good,Available,64
148,Fair,Available,18
149,Maintenance Required,Available,50
150,Maintenance Required,Available,34
151,Maintenance Required,Available,31
152,Fair,Rented,4
153,Fair,Available,12
154,Fair,Rented,51
155,Fair,Available,64
156,Maintenance Required,Available,49
157,Fair,Available,47
158,Good,Available,48
159,Excellent,Available,43
160,Maintenance Required,Maintenance,49
161,Maintenance Required,Available,69
162,Good,Available,66
163,Good,Available,65
164,Good,Available,72
165,Maintenance Required,Available,71
166,Maintenance Required,Available,54
167,Maintenance Required,Available,56
168,Fair,Available,67
169,Excellent,Rented,20
170,Fair,Maintenance,61
171,Excellent,Maintenance,61
172,Fair,Available,78
173,Maintenance Required,Maintenance,21
174,Good,Available,72
175,Good,Rented,39
176,Fair,Maintenance,77
177,Fair,Available,5
178,Fair,Available,40
179,Excellent,Maintenance,47
180,Fair,Rented,23
181,Good,Available,60
182,Maintenance Required,Available,7
183,Good,Maintenance,36
184,Excellent,Rented,26
185,Good,Rented,58
186,Fair,Available,19
187,Excellent,Available,45
188,Excellent,Available,72
189,Good,Available,54
190,Fair,Available,72
191,Excellent,Available,46
192,Fair,Available,1
193,Good,Maintenance,3
194,Fair,Available,13
195,Good,Available,44
196,Maintenance Required,Maintenance,18
197,Good,Available,34
198,Fair,Available,63
199,Excellent,Available,11
200,Good,Available,19
201,Excellent,Available,74
202,Maintenance Required,Available,22
203,Maintenance Required,Available,24
204,Maintenance Required,Rented,20
205,Fair,Available,24
206,Fair,Rented,7
207,Good,Maintenance,29
208,Fair,Available,45
209,Excellent,Available,44
210,Excellent,Maintenance,56
211,Good,Available,11
212,Excellent,Rented,13
213,Fair,Available,39
214,Good,Rented,41
215,Maintenance Required,Available,5
216,Good,Maintenance,61
217,Maintenance Required,Rented,14
218,Good,Rented,26
219,Maintenance Required,Available,33
220,Excellent,Available,18
221,Fair,Rented,61
222,Maintenance Required,Available,22
223,Good,Rented,13
224,Fair,Maintenance,4
225,Maintenance Required,Rented,16
226,Excellent,Maintenance,21
227,Excellent,Rented,80
228,Good,Available,74
229,Maintenance Required,Available,78
230,Good,Maintenance,3
231,Fair,Available,77
232,Maintenance Required,Available,56
233,Fair,Available,40
234,Good,Available,43
235,Maintenance Required,Available,54
236,Good,Available,13
237,Good,Maintenance,36
238,Excellent,Available,72
239,Fair,Available,65
240,Good,Available,38
241,Fair,Maintenance,19
242,Maintenance Required,Available,32
243,Excellent,Available,47
244,Good,Available,71
245,Good,Available,14
246,Maintenance Required,Available,17
247,Maintenance Required,Rented,48
248,Good,Maintenance,60
249,Excellent,Available,79
250,Fair,Maintenance,43
251,Fair,Available,4
252,Excellent,Maintenance,25
253,Fair,Available,26
254,Fair,Available,56
255,Excellent,Available,11
256,Maintenance Required,Rented,75
257,Excellent,Available,16
258,Maintenance Required,Available,3
259,Excellent,Rented,75
260,Good,Rented,78
261,Excellent,Rented,44
262,Good,Maintenance,28
263,Maintenance Required,Available,15
264,Excellent,Available,79
265,Maintenance Required,Available,65
266,Good,Available,80
267,Good,Rented,13
268,Excellent,Available,73
269,Good,Rented,57
270,Maintenance Required,Available,56
271,Fair,Available,4
272,Maintenance Required,Rented,73
273,Maintenance Required,Available,1
274,Excellent,Available,45
275,Excellent,Available,26
276,Fair,Available,36
277,Good,Available,2
278,Maintenance Required,Maintenance,17
279,Maintenance Required,Maintenance,32
280,Excellent,Available,79
281,Fair,Available,40
282,Fair,Maintenance,22
283,Maintenance Required,Rented,52
284,Good,Available,7
285,Excellent,Maintenance,35
286,Fair,Rented,27
287,Fair,Available,59
288,Good,Available,9
289,Excellent,Available,55
290,Good,Maintenance,10
291,Maintenance Required,Available,17
292,Excellent,Available,10
293,Good,Available,13
294,Maintenance Required,Available,36
295,Fair,Available,13
296,Excellent,Available,20
297,Good,Available,31
298,Good,Available,31
299,Good,Available,71
300,Excellent,Rented,50
301,Maintenance Required,Available,29
302,Excellent,Rented,31
303,Maintenance Required,Maintenance,32
304,Maintenance Required,Maintenance,2
305,Fair,Rented,76
306,Maintenance Required,Available,55
307,Excellent,Available,6
308,Good,Available,46
309,Excellent,Available,33
310,Excellent,Rented,61
311,Maintenance Required,Available,15
312,Fair,Available,35
313,Fair,Available,69
314,Good,Rented,24
315,Fair,Available,1
316,Excellent,Maintenance,15
317,Fair,Available,34
318,Fair,Rented,34
319,Maintenance Required,Available,78
320,Maintenance Required,Available,79
321,Maintenance Required,Available,44
322,Good,Rented,77
323,Maintenance Required,Available,55
324,Maintenance Required,Rented,31
325,Maintenance Required,Available,15
326,Good,Maintenance,55
327,Maintenance Required,Available,46
328,Maintenance Required,Rented,18
329,Good,Available,57
330,Fair,Rented,48
331,Maintenance Required,Available,27
332,Maintenance Required,Available,26
333,Good,Available,6
334,Fair,Rented,28
335,Fair,Available,9
336,Maintenance Required,Available,51
337,Maintenance Required,Available,64
338,Excellent,Available,28
339,Excellent,Rented,15
340,Excellent,Available,54
341,Excellent,Available,23
342,Fair,Maintenance,24
343,Excellent,Maintenance,30
344,Maintenance Required,Available,51
345,Fair,Rented,54
346,Fair,Rented,4
347,Maintenance Required,Maintenance,41
348,Maintenance Required,Maintenance,73
349,Maintenance Required,Available,66
350,Maintenance Required,Maintenance,28
351,Good,Available,72
352,Fair,Maintenance,4
353,Maintenance Required,Maintenance,29
354,Maintenance Required,Available,30
355,Fair,Maintenance,11
356,Good,Maintenance,24
357,Good,Rented,15
358,Maintenance Required,Available,8
359,Good,Available,77
360,Excellent,Available,9
361,Maintenance Required,Available,7
362,Excellent,Available,75
363,Maintenance Required,Available,70
364,Good,Available,17
365,Excellent,Maintenance,62
366,Excellent,Available,25
367,Excellent,Rented,69
368,Maintenance Required,Available,75
369,Fair,Rented,62
370,Fair,Maintenance,68
371,Fair,Maintenance,62
372,Maintenance Required,Maintenance,79
373,Excellent,Available,77
374,Good,Available,21
375,Excellent,Available,63
376,Maintenance Required,Available,36
377,Fair,Maintenance,54
378,Excellent,Available,13
379,Excellent,Rented,56
380,Fair,Rented,28
381,Excellent,Rented,32
382,Excellent,Available,26
383,Maintenance Required,Available,77
384,Maintenance Required,Available,46
385,Excellent,Rented,54
386,Fair,Maintenance,77
387,Good,Rented,53
388,Excellent,Available,72
389,Good,Maintenance,74
390,Excellent,Rented,76
391,Good,Available,68
392,Good,Available,15
393,Excellent,Rented,64
394,Fair,Available,64
395,Excellent,Rented,22
396,Good,Rented,29
397,Good,Available,16
398,Fair,Available,61
399,Excellent,Available,75
400,Excellent,Available,40
401,Good,Maintenance,61
402,Fair,Available,46
403,Fair,Maintenance,67
404,Fair,Rented,29
405,Excellent,Available,31
406,Fair,Available,62
407,Good,Available,78
408,Fair,Available,42
409,Fair,Available,57
410,Good,Available,77
411,Excellent,Available,72
412,Maintenance Required,Available,64
413,Good,Available,14
414,Excellent,Available,52
415,Maintenance Required,Available,70
416,Fair,Available,74
417,Excellent,Available,34
418,Fair,Available,72
419,Excellent,Available,30
420,Good,Available,50
421,Good,Available,78
422,Maintenance Required,Maintenance,61
423,Excellent,Maintenance,44
424,Fair,Available,55
425,Maintenance Required,Available,75
426,Excellent,Maintenance,36
427,Good,Available,79
428,Maintenance Required,Available,59
429,Excellent,Rented,43
430,Excellent,Available,52
431,Good,Maintenance,27
432,Good,Rented,61
433,Excellent,Rented,58
434,Excellent,Rented,18
435,Fair,Available,29
436,Fair,Available,24
437,Good,Available,22
438,Good,Available,13
439,Good,Available,53
440,Maintenance Required,Available,31
441,Excellent,Available,40
442,Excellent,Available,70
443,Fair,Available,38
444,Fair,Available,38
445,Good,Available,4
446,Fair,Available,32
447,Fair,Rented,77
448,Fair,Available,53
449,Maintenance Required,Available,16
450,Maintenance Required,Available,44
451,Fair,Available,2
452,Maintenance Required,Available,40
453,Excellent,Available,25
454,Excellent,Available,60
455,Good,Available,40
456,Excellent,Maintenance,42
457,Good,Rented,8
458,Excellent,Available,10
459,Fair,Rented,26
460,Fair,Available,41
461,Good,Available,74
462,Good,Rented,23
463,Maintenance Required,Rented,49
464,Maintenance Required,Maintenance,75
465,Good,Maintenance,23
466,Good,Available,45
467,Maintenance Required,Available,69
468,Fair,Available,73
469,Good,Maintenance,9
470,Good,Available,3
471,Fair,Available,17
