equipment_id,name,category,subcategory,type,rental_price,quantity,procurement_cost
1,Mountain E-Bike Model 01,Vehicle,E-Bike,Electric Bike,30.00,266,970.00
2,Touring E-Bike Model 02,Vehicle,E-Bike,Electric Bike,18.00,93,1907.00
3,Touring E-Bike Model 03,Vehicle,E-Bike,Electric Bike,25.00,138,1833.00
4,Touring E-Bike Model 04,Vehicle,E-Bike,Electric Bike,18.00,243,1262.00
5,Touring E-Bike Model 05,Vehicle,E-Bike,Electric Bike,35.00,252,1322.00
6,Cargo E-Bike Model 06,Vehicle,E-Bike,Electric Bike,16.00,42,1196.00
7,Cargo E-Bike Model 07,Vehicle,E-Bike,Electric Bike,25.00,255,1705.00
8,Folding E-Bike Model 08,Vehicle,E-Bike,Electric Bike,30.00,285,1957.00
9,Mountain E-Bike Model 09,Vehicle,E-Bike,Electric Bike,35.00,193,1161.00
10,Folding E-Bike Model 10,Vehicle,E-Bike,Electric Bike,20.00,26,2114.00
11,Mountain E-Bike Model 11,Vehicle,E-Bike,Electric Bike,25.00,71,1605.00
12,Mountain E-Bike Model 12,Vehicle,E-Bike,Electric Bike,18.00,71,2047.00
13,Cargo E-Bike Model 13,Vehicle,E-Bike,Electric Bike,20.00,41,1374.00
14,Folding E-Bike Model 14,Vehicle,E-Bike,Electric Bike,35.00,36,1351.00
15,City E-Bike Model 15,Vehicle,E-Bike,Electric Bike,20.00,288,960.00
16,Touring E-Bike Model 16,Vehicle,E-Bike,Electric Bike,25.00,133,1965.00
17,Cargo E-Bike Model 17,Vehicle,E-Bike,Electric Bike,30.00,154,1260.00
18,Cargo E-Bike Model 18,Vehicle,E-Bike,Electric Bike,16.00,280,1337.00
19,City E-Bike Model 19,Vehicle,E-Bike,Electric Bike,30.00,59,1128.00
20,Cargo E-Bike Model 20,Vehicle,E-Bike,Electric Bike,20.00,267,830.00
21,City E-Bike Model 21,Vehicle,E-Bike,Electric Bike,16.00,98,2034.00
22,Cargo E-Bike Model 22,Vehicle,E-Bike,Electric Bike,18.00,45,2027.00
23,Touring E-Bike Model 23,Vehicle,E-Bike,Electric Bike,18.00,247,1520.00
24,Folding E-Bike Model 24,Vehicle,E-Bike,Electric Bike,16.00,293,1364.00
25,City E-Bike Model 25,Vehicle,E-Bike,Electric Bike,30.00,244,852.00
26,Folding E-Bike Model 26,Vehicle,E-Bike,Electric Bike,25.00,295,1965.00
27,Mountain E-Bike Model 27,Vehicle,E-Bike,Electric Bike,16.00,174,991.00
28,Cargo E-Bike Model 28,Vehicle,E-Bike,Electric Bike,35.00,238,1246.00
29,Cargo E-Bike Model 29,Vehicle,E-Bike,Electric Bike,30.00,230,1297.00
30,Cargo E-Bike Model 30,Vehicle,E-Bike,Electric Bike,25.00,32,1876.00
31,Premium E-Scooter Model 31,Vehicle,E-Scooter,Electric Scooter,12.00,172,783.00
32,Premium E-Scooter Model 32,Vehicle,E-Scooter,Electric Scooter,10.00,131,417.00
33,Commuter E-Scooter Model 33,Vehicle,E-Scooter,Electric Scooter,12.00,265,977.00
34,Long Range E-Scooter Model 34,Vehicle,E-Scooter,Electric Scooter,12.00,80,860.00
35,Premium E-Scooter Model 35,Vehicle,E-Scooter,Electric Scooter,15.00,207,946.00
36,Long Range E-Scooter Model 36,Vehicle,E-Scooter,Electric Scooter,18.00,244,514.00
37,Premium E-Scooter Model 37,Vehicle,E-Scooter,Electric Scooter,12.00,126,456.00
38,Standard E-Scooter Model 38,Vehicle,E-Scooter,Electric Scooter,10.00,189,489.00
39,Commuter E-Scooter Model 39,Vehicle,E-Scooter,Electric Scooter,22.00,103,727.00
40,Long Range E-Scooter Model 40,Vehicle,E-Scooter,Electric Scooter,12.00,173,582.00
41,Commuter E-Scooter Model 41,Vehicle,E-Scooter,Electric Scooter,10.00,55,734.00
42,Commuter E-Scooter Model 42,Vehicle,E-Scooter,Electric Scooter,22.00,295,705.00
43,Premium E-Scooter Model 43,Vehicle,E-Scooter,Electric Scooter,12.00,219,947.00
44,Long Range E-Scooter Model 44,Vehicle,E-Scooter,Electric Scooter,10.00,173,827.00
45,Premium E-Scooter Model 45,Vehicle,E-Scooter,Electric Scooter,15.00,150,743.00
46,Standard E-Scooter Model 46,Vehicle,E-Scooter,Electric Scooter,18.00,196,530.00
47,Commuter E-Scooter Model 47,Vehicle,E-Scooter,Electric Scooter,22.00,62,715.00
48,Standard E-Scooter Model 48,Vehicle,E-Scooter,Electric Scooter,18.00,237,624.00
49,Standard E-Scooter Model 49,Vehicle,E-Scooter,Electric Scooter,10.00,192,802.00
50,Long Range E-Scooter Model 50,Vehicle,E-Scooter,Electric Scooter,10.00,59,515.00
51,Premium E-Scooter Model 51,Vehicle,E-Scooter,Electric Scooter,22.00,56,446.00
52,Long Range E-Scooter Model 52,Vehicle,E-Scooter,Electric Scooter,15.00,173,451.00
53,Premium E-Scooter Model 53,Vehicle,E-Scooter,Electric Scooter,15.00,49,841.00
54,Long Range E-Scooter Model 54,Vehicle,E-Scooter,Electric Scooter,22.00,269,611.00
55,Standard E-Scooter Model 55,Vehicle,E-Scooter,Electric Scooter,18.00,85,644.00
56,Safety Lights Set 56,Safety,Safety Lights,Protective Gear,4.00,227,44.00
57,Knee Pads Set 57,Safety,Knee Pads,Protective Gear,4.00,34,22.00
58,Reflective Vest Set 58,Safety,Reflective Vest,Protective Gear,6.00,198,50.00
59,Gloves Set 59,Safety,Gloves,Protective Gear,3.00,216,46.00
60,Gloves Set 60,Safety,Gloves,Protective Gear,4.00,116,17.00
61,Elbow Pads Set 61,Safety,Elbow Pads,Protective Gear,6.00,255,38.00
62,Helmet Set 62,Safety,Helmet,Protective Gear,8.00,213,57.00
63,Elbow Pads Set 63,Safety,Elbow Pads,Protective Gear,6.00,59,37.00
64,Helmet Set 64,Safety,Helmet,Protective Gear,4.00,221,30.00
65,Reflective Vest Set 65,Safety,Reflective Vest,Protective Gear,5.00,36,21.00
66,Reflective Vest Set 66,Safety,Reflective Vest,Protective Gear,4.00,132,18.00
67,Knee Pads Set 67,Safety,Knee Pads,Protective Gear,8.00,298,47.00
68,Helmet Set 68,Safety,Helmet,Protective Gear,3.00,244,23.00
69,Elbow Pads Set 69,Safety,Elbow Pads,Protective Gear,8.00,235,24.00
70,Elbow Pads Set 70,Safety,Elbow Pads,Protective Gear,5.00,28,49.00
71,Helmet Set 71,Safety,Helmet,Protective Gear,6.00,56,38.00
72,Knee Pads Set 72,Safety,Knee Pads,Protective Gear,4.00,175,50.00
73,Child Seat 73,Accessory,Child Seat,Rental Accessory,5.00,160,23.00
74,Child Seat 74,Accessory,Child Seat,Rental Accessory,2.00,104,86.00
75,Basket 75,Accessory,Basket,Rental Accessory,3.00,52,52.00
76,Lock 76,Accessory,Lock,Rental Accessory,4.00,204,58.00
77,Lock 77,Accessory,Lock,Rental Accessory,4.00,212,25.00
78,Phone Holder 78,Accessory,Phone Holder,Rental Accessory,2.00,216,78.00
79,Basket 79,Accessory,Basket,Rental Accessory,5.00,214,24.00
80,Basket 80,Accessory,Basket,Rental Accessory,2.00,202,80.00
