rentalline_id,transaction_id,inventory_id,line_price,vat
1,4617,7473,33.00,6.60
2,5257,7388,30.00,6.00
3,2394,10245,8.00,1.60
4,4476,1086,35.00,7.00
5,11736,13947,8.00,1.60
6,7461,1210,25.00,5.00
7,35118,3124,54.00,10.80
8,20690,13248,4.00,0.80
9,3930,14699,30.00,6.00
10,23381,2419,54.00,10.80
11,1239,7224,12.00,2.40
12,13669,2612,22.00,4.40
13,33527,632,20.00,4.00
14,18910,10258,48.00,9.60
15,25985,5456,35.00,7.00
16,27165,12635,4.00,0.80
17,32852,6355,4.00,0.80
18,14143,5023,16.00,3.20
19,22544,12791,32.00,6.40
20,39108,10333,20.00,4.00
21,19167,10676,90.00,18.00
22,11287,8038,25.00,5.00
23,33719,12681,5.00,1.00
24,9481,12267,18.00,3.60
25,8958,1797,18.00,3.60
26,34460,8058,6.00,1.20
27,28565,6581,27.00,5.40
28,4176,2568,16.00,3.20
29,39476,6665,15.00,3.00
30,38916,10835,35.00,7.00
31,6448,2289,32.00,6.40
32,37227,10945,12.00,2.40
33,37099,4038,18.00,3.60
34,32557,4678,33.00,6.60
35,19288,3237,18.00,3.60
36,15531,10544,75.00,15.00
37,24240,5264,30.00,6.00
38,38761,6171,16.00,3.20
39,39834,9955,30.00,6.00
40,15103,14253,45.00,9.00
41,10112,11859,12.00,2.40
42,929,14917,20.00,4.00
43,916,5956,9.00,1.80
44,33378,10154,6.00,1.20
45,7982,12254,18.00,3.60
46,29907,931,6.00,1.20
47,12404,673,33.00,6.60
48,28729,1349,6.00,1.20
49,10735,6108,12.00,2.40
50,17601,10168,36.00,7.20
51,14826,1961,6.00,1.20
52,6697,11932,30.00,6.00
53,8518,5834,16.00,3.20
54,13596,3583,30.00,6.00
55,19539,11185,5.00,1.00
56,18823,4285,22.00,4.40
57,17433,12960,12.00,2.40
58,11490,6704,35.00,7.00
59,33823,69,18.00,3.60
60,20738,11698,2.00,0.40
61,16353,2983,36.00,7.20
62,16861,11538,8.00,1.60
63,34589,13850,10.00,2.00
64,10149,8250,9.00,1.80
65,19360,2220,15.00,3.00
66,37597,6323,60.00,12.00
67,24428,1166,18.00,3.60
68,3536,1657,4.00,0.80
69,15762,12623,25.00,5.00
70,9623,13774,60.00,12.00
71,36826,12771,36.00,7.20
72,10278,5993,60.00,12.00
73,31047,12689,32.00,6.40
74,14936,5102,24.00,4.80
75,39485,940,32.00,6.40
76,32302,1103,30.00,6.00
77,34311,12687,30.00,6.00
78,7246,8274,18.00,3.60
79,32486,4307,3.00,0.60
80,15840,9193,12.00,2.40
81,34057,6704,35.00,7.00
82,8029,3171,18.00,3.60
83,38606,4859,33.00,6.60
84,6886,5454,15.00,3.00
85,7931,14748,37.50,7.50
86,26024,6870,3.00,0.60
87,33693,5896,6.00,1.20
88,31598,2414,30.00,6.00
89,39440,1772,18.00,3.60
90,6098,150,12.00,2.40
91,2184,5425,9.00,1.80
92,27734,2612,66.00,13.20
93,23794,5402,20.00,4.00
94,3531,2359,4.00,0.80
95,31085,9264,18.00,3.60
96,9800,8654,16.00,3.20
97,34680,7517,12.00,2.40
98,6657,4550,4.00,0.80
99,981,5333,20.00,4.00
100,23511,6590,12.00,2.40
101,19703,5774,18.00,3.60
102,18425,12003,15.00,3.00
103,36064,1529,50.00,10.00
104,18888,9529,66.00,13.20
105,1946,5628,30.00,6.00
106,27290,8173,12.00,2.40
107,24104,9814,15.00,3.00
108,38635,7112,75.00,15.00
109,17454,3201,35.00,7.00
110,34246,7822,45.00,9.00
111,28151,3930,24.00,4.80
112,28375,10698,25.00,5.00
113,10177,7075,32.00,6.40
114,17042,1006,8.00,1.60
115,21047,8392,36.00,7.20
116,21068,9443,4.00,0.80
117,25018,12659,24.00,4.80
118,4956,558,36.00,7.20
119,22148,9095,9.00,1.80
120,7632,1113,18.00,3.60
121,18837,9931,90.00,18.00
122,21123,8236,54.00,10.80
123,22681,11919,25.00,5.00
124,19572,243,22.00,4.40
125,34240,576,8.00,1.60
126,18306,14763,6.00,1.20
127,13635,6669,16.00,3.20
128,27020,1962,50.00,10.00
129,35444,8841,30.00,6.00
130,19820,10326,52.50,10.50
131,16975,413,105.00,21.00
132,38405,6782,18.00,3.60
133,24839,14112,20.00,4.00
134,30745,977,6.00,1.20
135,9131,2121,18.00,3.60
136,21688,3499,36.00,7.20
137,3952,13648,18.00,3.60
138,39503,5784,90.00,18.00
139,7706,11656,24.00,4.80
140,20548,2108,3.00,0.60
141,23480,2910,45.00,9.00
142,25457,11712,12.00,2.40
143,15889,8487,75.00,15.00
144,25893,14232,30.00,6.00
145,22562,5921,10.00,2.00
146,29431,2926,4.00,0.80
147,32019,1448,60.00,12.00
148,14442,5385,44.00,8.80
149,27385,184,25.00,5.00
150,37515,8734,10.00,2.00
151,6964,6398,35.00,7.00
152,20423,11074,54.00,10.80
153,758,2295,12.00,2.40
154,20246,4732,54.00,10.80
155,37380,2520,37.50,7.50
156,34316,13251,8.00,1.60
157,22296,13996,22.50,4.50
158,38791,481,4.00,0.80
159,24796,13263,3.00,0.60
160,17691,1643,24.00,4.80
161,4303,4500,3.00,0.60
162,33717,393,6.00,1.20
163,2484,12696,24.00,4.80
164,22019,3951,20.00,4.00
165,11567,7891,4.00,0.80
166,37978,3892,30.00,6.00
167,29153,2065,4.00,0.80
168,1702,2008,18.00,3.60
169,13438,12701,12.00,2.40
170,21202,6665,10.00,2.00
171,8618,10935,24.00,4.80
172,30122,6573,75.00,15.00
173,25652,5696,15.00,3.00
174,21682,1158,6.00,1.20
175,2274,8311,24.00,4.80
176,19417,4446,48.00,9.60
177,11469,2621,40.00,8.00
178,28096,3556,22.00,4.40
179,686,14945,35.00,7.00
180,7973,14505,6.00,1.20
181,35758,14104,6.00,1.20
182,18425,322,6.00,1.20
183,11372,13746,22.00,4.40
184,21928,6972,15.00,3.00
185,9417,13390,15.00,3.00
186,16558,2066,4.00,0.80
187,29350,1649,6.00,1.20
188,9388,13273,33.00,6.60
189,18221,3594,3.00,0.60
190,8960,12700,16.00,3.20
191,27961,6935,5.00,1.00
192,32100,8065,18.00,3.60
193,14663,5630,54.00,10.80
194,20670,5820,75.00,15.00
195,120,11592,30.00,6.00
196,238,14411,20.00,4.00
197,37130,2144,10.00,2.00
198,421,12905,12.00,2.40
199,33405,13092,66.00,13.20
200,34416,12272,30.00,6.00
201,39804,8941,24.00,4.80
202,14285,7083,18.00,3.60
203,10231,11066,6.00,1.20
204,34135,7080,6.00,1.20
205,14472,11751,18.00,3.60
206,20920,14396,44.00,8.80
207,27590,12552,18.00,3.60
208,21961,208,30.00,6.00
209,38963,9534,6.00,1.20
210,7540,14200,9.00,1.80
211,7190,14362,30.00,6.00
212,4221,6184,27.00,5.40
213,27089,8541,36.00,7.20
214,28904,3926,6.00,1.20
215,23316,12835,10.00,2.00
216,249,11248,30.00,6.00
217,12421,1831,12.00,2.40
218,31810,13511,4.00,0.80
219,28446,11806,27.00,5.40
220,33535,8270,36.00,7.20
221,30647,3929,50.00,10.00
222,12147,6097,24.00,4.80
223,34111,3646,15.00,3.00
224,373,12370,70.00,14.00
225,29144,7567,15.00,3.00
226,25260,3421,30.00,6.00
227,10812,2742,8.00,1.60
228,18772,73,20.00,4.00
229,1729,7637,15.00,3.00
230,31531,8862,18.00,3.60
231,9395,5482,18.00,3.60
232,29892,9689,10.00,2.00
233,28014,1495,60.00,12.00
234,8650,2554,44.00,8.80
235,2117,893,8.00,1.60
236,19061,12866,18.00,3.60
237,39800,11127,7.50,1.50
238,4200,1968,10.00,2.00
239,38241,7517,12.00,2.40
240,16770,12449,24.00,4.80
241,28765,4877,15.00,3.00
242,35977,7099,30.00,6.00
243,13021,14312,15.00,3.00
244,15691,11470,33.00,6.60
245,37813,8106,35.00,7.00
246,12512,7481,25.00,5.00
247,37078,4581,2.00,0.40
248,12688,4830,12.00,2.40
249,21743,8786,24.00,4.80
250,6773,4822,12.00,2.40
251,16736,6310,25.00,5.00
252,13460,6230,18.00,3.60
253,35495,4795,20.00,4.00
254,6751,6620,6.00,1.20
255,8411,4010,40.00,8.00
256,12064,11375,50.00,10.00
257,27141,14115,52.50,10.50
258,12713,2085,5.00,1.00
259,1044,13370,6.00,1.20
260,20232,6535,12.00,2.40
261,13850,1593,22.00,4.40
262,4510,1691,22.00,4.40
263,10653,5631,2.00,0.40
264,4444,12421,2.00,0.40
265,24878,2882,4.00,0.80
266,5542,1030,15.00,3.00
267,29691,8895,35.00,7.00
268,30769,13014,27.00,5.40
269,34824,10346,18.00,3.60
270,22741,10291,24.00,4.80
271,39618,12187,30.00,6.00
272,7785,2276,22.50,4.50
273,4033,11708,20.00,4.00
274,34372,12419,48.00,9.60
275,9236,13407,20.00,4.00
276,13421,10427,8.00,1.60
277,32071,7347,44.00,8.80
278,18592,8047,9.00,1.80
279,4616,6576,75.00,15.00
280,27675,5386,40.00,8.00
281,9454,13522,45.00,9.00
282,6442,10915,18.00,3.60
283,19873,6628,66.00,13.20
284,39698,8194,6.00,1.20
285,16477,5423,24.00,4.80
286,2571,3570,30.00,6.00
287,20075,14189,15.00,3.00
288,16304,8358,48.00,9.60
289,63,5413,25.00,5.00
290,11356,14790,37.50,7.50
291,2889,578,20.00,4.00
292,35887,6566,70.00,14.00
293,22891,7074,25.00,5.00
294,13824,13751,8.00,1.60
295,31012,12008,12.00,2.40
296,26374,6303,25.00,5.00
297,6173,10914,33.00,6.60
298,33518,9598,60.00,12.00
299,22608,8774,12.00,2.40
300,23860,10459,10.00,2.00
301,32241,12969,90.00,18.00
302,35473,9168,75.00,15.00
303,16933,3077,50.00,10.00
304,25881,866,25.00,5.00
305,38894,2502,32.00,6.40
306,4955,9665,25.00,5.00
307,1590,8099,10.00,2.00
308,26543,4055,18.00,3.60
309,26742,782,3.00,0.60
310,5749,5433,12.00,2.40
311,14831,13179,44.00,8.80
312,9391,1601,45.00,9.00
313,8172,10845,16.00,3.20
314,2505,6494,5.00,1.00
315,11397,14058,12.00,2.40
316,2240,14770,7.50,1.50
317,16755,5754,10.00,2.00
318,7619,10614,54.00,10.80
319,5434,9196,12.00,2.40
320,26396,2277,16.00,3.20
321,36395,12934,4.00,0.80
322,32588,11422,36.00,7.20
323,481,6736,24.00,4.80
324,25539,11477,10.00,2.00
325,12042,4173,20.00,4.00
326,32421,2877,6.00,1.20
327,32936,8085,27.00,5.40
328,28521,12097,30.00,6.00
329,4490,5997,24.00,4.80
330,29492,376,18.00,3.60
331,26907,1161,15.00,3.00
332,8925,7607,16.00,3.20
333,39350,18,15.00,3.00
334,33546,4688,20.00,4.00
335,29275,7022,36.00,7.20
336,25093,9738,52.50,10.50
337,28989,10529,4.00,0.80
338,15873,600,12.00,2.40
339,30567,3911,16.00,3.20
340,2269,1878,8.00,1.60
341,18628,3916,30.00,6.00
342,14844,12402,40.00,8.00
343,9842,11620,20.00,4.00
